Age,Relationship Categories,relationship_other,Care giving experience,sole caregiver or not,hours spent for care_weekly,hours works at job,living situation,living situation_other,fund_ All the care they receive is free or donated,fund_family contributions,"fund_pension, savings, or retirement fund","fund_medicare, medicaid, SSDI, or VA benefits",fund_medical insurance,fund_long-term care insurance,fund_other,received_federal state local fund,"
lacking any support",training_support,access_support,group_support,counselling_support,respite care_support,loved one physician_support,financial_support,employer accommodation_support,support_other,unmet caregiver need_ none,unmet caregiver need_ employer accommodation,unmet caregiver need_training,unmet caregiver need_access,unmet caregiver need_groups,unmet caregiver need_counseling,unmet caregiver need_respite care,unmet caregiver need_loved one physician,unmet caregiver need_financial,unmet caregiver need_other,unmet caregiver need_none of the above,difficulties_obligation,difficulties_physical demands,difficulties_emotional stress,difficulties_life balance,difficulties_boundaries of commit to caregiving,Financial strain,difficulties_loss of sleep,difficulties_help needed not requested,difficulties_depression,difficulties_other,experience anxiety or depression,struggling with restful sleep,"
fluctuating appetite patterns","
difficulty connecting socially","
lost joy in activities",constantly feeling overwhelmed,mental state self description,feel trapped,losing temper,health issues hinder care,constant worry when away,fear of not doing enough,work_hours,Occupations,Name,Bio,Behavior 1,Behavior 2,Behavior 3,Behavior 4,Behavior 5,Core Needs 1,Core Needs 2,Core Needs 3,Core Needs 4,Core Needs 5
60 - 69,Other family member,,Less than a year,Yes,6,3,"They live with me, or another caregiver",,,,,"Medicare, Medicaid, SSDI, or VA benefits",,,,No,,,Help in getting access to services,Support groups,,,,,,,None of the above,,,,,,,,,,,,,,,,Financial strain,Loss of sleep,,Depression,,Strongly agree,Strongly agree,Agree,Strongly disagree,Disagree,Agree,Average,Agree,Agree,Disagree,Agree,Disagree,3,Part-time employed,,,,,,,,,,,,
70 - 79,Parent,,Over 5 years,Yes,10,45,"They live with me, or another caregiver",,,Family contributions,"Pension, savings, or retirement fund",,Medical insurance,,,No,,,Help in getting access to services,,Individual counseling to help cope with giving care,,Support from my loved one鈥檚 physicians,,Accommodation from my employer,,,,,,Support groups,,Respite care (short-term or long-term breaks for people who provide care),,Financial support,,,,Physical demands,,Balancing caregiving with the rest of my responsibilities or desires,Setting boundaries with how much time I commit to caregiving,Financial strain,,,,,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,Disagree,Agree,Good,Strongly disagree,Disagree,Strongly disagree,Disagree,Disagree,45,Full-time employed,,,,,,,,,,,,
80 - 89,Other (please specify),grandparent,1 - 2 years,No,8,40,"In a home or apartment, with family or a roommate",,,,"Pension, savings, or retirement fund",,Medical insurance,,,Yes,,,,,Individual counseling to help cope with giving care,,,,,,,,"Classes about giving care, such as giving medications",Help in getting access to services,,,,,Financial support,,,I feel obligated to help because no one else will,,Emotional stress,Balancing caregiving with the rest of my responsibilities or desires,Setting boundaries with how much time I commit to caregiving,,Loss of sleep,I need more help but don鈥檛 want to ask,Depression,,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Below average,Agree,Agree,Disagree,Agree,Agree,40,Full-time employed,,,,,,,,,,,,
70 - 79,Other family member,,3 - 5 years,No,48,25,"In a home or apartment, with family or a roommate",,,,"Pension, savings, or retirement fund","Medicare, Medicaid, SSDI, or VA benefits",,,,No,,,,,,Respite care (short-term or long-term breaks for people who provide care),Support from my loved one鈥檚 physicians,,Accommodation from my employer,,,,"Classes about giving care, such as giving medications",,,,,,Financial support,,,I feel obligated to help because no one else will,Physical demands,Emotional stress,,,,,,,I need more help but it is unavailable,Neutral,Neutral,Disagree,Strongly disagree,Disagree,Agree,Good,Agree,Agree,Disagree,Agree,Agree,25,Part-time employed,,,,,,,,,,,,
80 - 89,Friend/Neighbor,,1 - 2 years,No,10,40,"In a home or apartment, with family or a roommate",,,,,"Medicare, Medicaid, SSDI, or VA benefits",,,,No,,,,,,,,,Accommodation from my employer,,,,,Help in getting access to services,,,,,,,,,,,Balancing caregiving with the rest of my responsibilities or desires,Setting boundaries with how much time I commit to caregiving,,,,,,Agree,Strongly disagree,Disagree,Strongly agree,Disagree,Agree,Average,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Agree,40,Full-time employed,,,,,,,,,,,,
80 - 89,Other family member,,1 - 2 years,Yes,15,35,"They live with me, or another caregiver",,,,"Pension, savings, or retirement fund","Medicare, Medicaid, SSDI, or VA benefits",,,,No,I do not currently receive any of these types of support,,,,,,,,,,,,,,Support groups,,,,Financial support,,,I feel obligated to help because no one else will,,,Balancing caregiving with the rest of my responsibilities or desires,,,,,,Her co-operation,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Excellent,Neutral,Neutral,Strongly disagree,Strongly disagree,Strongly disagree,35,Part-time employed,,,,,,,,,,,,
90+,Other family member,,Less than a year,No,12,36,"In a home or apartment, with family or a roommate",,,Family contributions,"Pension, savings, or retirement fund","Medicare, Medicaid, SSDI, or VA benefits",,,,No,I do not currently receive any of these types of support,,,,,,,,,,,,,,,,Respite care (short-term or long-term breaks for people who provide care),,,,,,,,Balancing caregiving with the rest of my responsibilities or desires,Setting boundaries with how much time I commit to caregiving,,,,,,Agree,Agree,Disagree,Agree,Neutral,Agree,Below average,Agree,Agree,Agree,Neutral,Agree,36,Part-time employed,,,,,,,,,,,,
80 - 89,Other family member,,Less than a year,No,8,0,"In their home or apartment, alone",,All the care they receive is free or donated,,,,,,,No,I do not currently receive any of these types of support,,,,,,,,,,None of the above,,,,,,,,,,,,,,Balancing caregiving with the rest of my responsibilities or desires,,Financial strain,,,,,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Below average,Agree,Strongly disagree,Agree,Agree,Agree,0,Retired,,,,,,,,,,,,
80 - 89,Other (please specify),They are my parent ,3 - 5 years,No,20,0,"In their home or apartment, alone",,,,,"Medicare, Medicaid, SSDI, or VA benefits",,,,No,,,,,,,Support from my loved one鈥檚 physicians,,,,,,,,,,Respite care (short-term or long-term breaks for people who provide care),,,,,I feel obligated to help because no one else will,Physical demands,Emotional stress,Balancing caregiving with the rest of my responsibilities or desires,,,Loss of sleep,,Depression,,Agree,Neutral,Neutral,Neutral,Disagree,Disagree,Average,Agree,Disagree,Neutral,Agree,Agree,0,Retired,,,,,,,,,,,,
70 - 79,Parent,,1 - 2 years,No,10,40,"They live with me, or another caregiver",,,,"Pension, savings, or retirement fund","Medicare, Medicaid, SSDI, or VA benefits",,,,No,,,,Support groups,Individual counseling to help cope with giving care,,,,,,,,,,,,,,Financial support,,,,,,,,Financial strain,Loss of sleep,,Depression,,Agree,Agree,Neutral,Neutral,Neutral,Agree,Average,Agree,Neutral,Agree,Agree,Agree,40,Full-time employed,,,,,,,,,,,,
70 - 79,Parent,,1 - 2 years,No,15,40,"In their home or apartment, alone",,,Family contributions,"Pension, savings, or retirement fund","Medicare, Medicaid, SSDI, or VA benefits",Medical insurance,,,No,I do not currently receive any of these types of support,,,,,,,,,,,Accommodation from my employer,,Help in getting access to services,,,Respite care (short-term or long-term breaks for people who provide care),,,,,,,Emotional stress,Balancing caregiving with the rest of my responsibilities or desires,,,Loss of sleep,,Depression,,Strongly agree,Strongly agree,Neutral,Disagree,Neutral,Agree,Average,Neutral,Agree,Disagree,Agree,Agree,40,Full-time employed,,,,,,,,,,,,
80 - 89,Other (please specify),in-laws,1 - 2 years,No,10,15,"They live with me, or another caregiver",,,Family contributions,,,Medical insurance,,"Social services, EBT",No,I do not currently receive any of these types of support,,,,,,,,,,None of the above,,,,,,,,,,,I feel obligated to help because no one else will,,,Balancing caregiving with the rest of my responsibilities or desires,Setting boundaries with how much time I commit to caregiving,Financial strain,,I need more help but don鈥檛 want to ask,,,Strongly agree,Agree,Neutral,Agree,Agree,Disagree,Average,Neutral,Neutral,Neutral,Disagree,Disagree,15,Part-time employed,,,,,,,,,,,,
30 - 39,Other family member,,Less than a year,No,5,40,"In a home or apartment, with family or a roommate",,All the care they receive is free or donated,,"Pension, savings, or retirement fund",,,Long-term care insurance,,No,,,Help in getting access to services,,,,,,,,None of the above,,,,,,,,,,,I feel obligated to help because no one else will,,Emotional stress,Balancing caregiving with the rest of my responsibilities or desires,Setting boundaries with how much time I commit to caregiving,,,I need more help but don鈥檛 want to ask,,,Strongly agree,Agree,Neutral,Disagree,Disagree,Strongly agree,Average,Strongly disagree,Disagree,Strongly disagree,Agree,Agree,40,Full-time employed,,,,,,,,,,,,
70 - 79,Parent,,3 - 5 years,Yes,30,40,"In their home or apartment, alone",,,,,"Medicare, Medicaid, SSDI, or VA benefits",,,,No,,,Help in getting access to services,,,,,Financial support,,,,,,,Support groups,Individual counseling to help cope with giving care,,,,,,,Physical demands,Emotional stress,,Setting boundaries with how much time I commit to caregiving,,Loss of sleep,,Depression,,Agree,Agree,Disagree,Disagree,Disagree,Agree,Good,Disagree,Disagree,Agree,Agree,Agree,40,Full-time employed,,,,,,,,,,,,
80 - 89,Other family member,,3 - 5 years,Yes,40,0,"In their home or apartment, alone",,All the care they receive is free or donated,,,,,,,No,I do not currently receive any of these types of support,,,,,,,,,,None of the above,,,,,,,,,,None of the above,,,,,,,,,,,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Good,Disagree,Disagree,Disagree,Disagree,Disagree,0,Retired,,,,,,,,,,,,
60 - 69,Other family member,,Over 5 years,No,25,0,"They live with me, or another caregiver",,,,,"Medicare, Medicaid, SSDI, or VA benefits",,,,No,,,,,,,Support from my loved one鈥檚 physicians,,,,,,,,,Individual counseling to help cope with giving care,Respite care (short-term or long-term breaks for people who provide care),,Financial support,,,,,Emotional stress,Balancing caregiving with the rest of my responsibilities or desires,,,Loss of sleep,,Depression,,Strongly agree,Strongly agree,Disagree,Neutral,Agree,Strongly agree,Average,Agree,Agree,Strongly disagree,Strongly agree,Neutral,0,Retired,,,,,,,,,,,,
80 - 89,Parent,,3 - 5 years,Yes,80,40,"They live with me, or another caregiver",,,,,"Medicare, Medicaid, SSDI, or VA benefits",,,,No,,,Help in getting access to services,,Individual counseling to help cope with giving care,,Support from my loved one鈥檚 physicians,,,,None of the above,,,,,,,,,,,,Physical demands,Emotional stress,Balancing caregiving with the rest of my responsibilities or desires,,,Loss of sleep,I need more help but don鈥檛 want to ask,Depression,,Strongly agree,Strongly agree,Agree,Neutral,Neutral,Strongly agree,Poor,Disagree,Disagree,Agree,Strongly agree,Agree,40,Full-time employed,,,,,,,,,,,,
70 - 79,Parent,,Over 5 years,Yes,4,0,"They live with me, or another caregiver",,,Family contributions,,,,,,No,I do not currently receive any of these types of support,,,,,,,,,,,,,Help in getting access to services,,,,,Financial support,,,I feel obligated to help because no one else will,Physical demands,Emotional stress,,,Financial strain,Loss of sleep,,Depression,,Strongly agree,Strongly agree,Disagree,Disagree,Disagree,Strongly agree,Average,Agree,Disagree,Agree,Strongly agree,Agree,0,Retired,,,,,,,,,,,,
60 - 69,Parent,,Less than a year,No,10,38,"In their home or apartment, alone",,,,,,Medical insurance,,Long term disability insurance,No,I do not currently receive any of these types of support,,,,,,,,,,,,,,,,,Support from my loved one鈥檚 physicians,Financial support,,,,,Emotional stress,Balancing caregiving with the rest of my responsibilities or desires,Setting boundaries with how much time I commit to caregiving,Financial strain,,,,Harms my relationship with my mother,Agree,Disagree,Disagree,Disagree,Disagree,Strongly agree,Good,Strongly agree,Strongly agree,Agree,Disagree,Strongly agree,38,Part-time employed,,,,,,,,,,,,
60 - 69,Parent,,Over 5 years,No,15,0,"In their home or apartment, alone",,,,"Pension, savings, or retirement fund","Medicare, Medicaid, SSDI, or VA benefits",,,,No,I do not currently receive any of these types of support,,,,,,,,,,,,,,,,,,Financial support,,,I feel obligated to help because no one else will,,Emotional stress,Balancing caregiving with the rest of my responsibilities or desires,,,Loss of sleep,,Depression,,Strongly agree,Neutral,Disagree,Agree,Agree,Neutral,Poor,Disagree,Neutral,Disagree,Neutral,Agree,0,Retired,,,,,,,,,,,,
18 - 19,Other (please specify),Multiple family members ,Over 5 years,No,40,45,"They live with me, or another caregiver",,All the care they receive is free or donated,Family contributions,,,,,We鈥檙e family we just support each other ,No,I do not currently receive any of these types of support,,,,,,,,,,None of the above,,,,,,,,,,,I feel obligated to help because no one else will,,Emotional stress,Balancing caregiving with the rest of my responsibilities or desires,Setting boundaries with how much time I commit to caregiving,Financial strain,Loss of sleep,I need more help but don鈥檛 want to ask,,,Disagree,Agree,Neutral,Neutral,Strongly disagree,Strongly agree,Good,Neutral,Disagree,Disagree,Agree,Agree,45,Full-time employed,,,,,,,,,,,,
90+,Parent,,1 - 2 years,No,14,40,"In a home or apartment, with family or a roommate",,,,"Pension, savings, or retirement fund",,Medical insurance,,,No,I do not currently receive any of these types of support,,,,,,,,,,,,,,,,,,Financial support,,,,,,Balancing caregiving with the rest of my responsibilities or desires,Setting boundaries with how much time I commit to caregiving,Financial strain,,,,,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Excellent,Agree,Agree,Strongly disagree,Agree,Neutral,40,Full-time employed,,,,,,,,,,,,
70 - 79,Parent,,1 - 2 years,No,10,40,"In their home or apartment, alone",,,,,"Medicare, Medicaid, SSDI, or VA benefits",,,,No,I do not currently receive any of these types of support,,,,,,,,,,None of the above,,,,,,,,,,None of the above,,,,,,,,,,,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Excellent,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,40,Full-time employed,,,,,,,,,,,,
60 - 69,Parent,,1 - 2 years,Yes,10,40,"They live with me, or another caregiver",,,Family contributions,"Pension, savings, or retirement fund","Medicare, Medicaid, SSDI, or VA benefits",,,,No,I do not currently receive any of these types of support,,,,,,,,,,,Accommodation from my employer,,,,,,Support from my loved one鈥檚 physicians,Financial support,,,,Physical demands,,Balancing caregiving with the rest of my responsibilities or desires,,,Loss of sleep,,Depression,,Strongly agree,Strongly agree,Agree,Agree,Disagree,Strongly agree,Average,Strongly disagree,Agree,Strongly disagree,Disagree,Agree,40,Full-time employed,,,,,,,,,,,,
90+,Parent,,3 - 5 years,No,4,35,"In a home or apartment, with family or a roommate",,,,"Pension, savings, or retirement fund","Medicare, Medicaid, SSDI, or VA benefits",,Long-term care insurance,,No,,,Help in getting access to services,,,,Support from my loved one鈥檚 physicians,,,,,,,,,,,,Financial support,I say financial support because it would allow me to spend more time as a caregiver,,,,,Balancing caregiving with the rest of my responsibilities or desires,,Financial strain,,,,family drama,Strongly disagree,Agree,Strongly disagree,Disagree,Disagree,Agree,Good,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,35,Part-time employed,,,,,,,,,,,,
70 - 79,Parent,,1 - 2 years,No,3,40,Other (please specify),Adult Family Home,,,"Pension, savings, or retirement fund","Medicare, Medicaid, SSDI, or VA benefits",,,,No,I do not currently receive any of these types of support,,,,,,,,,,,,,Help in getting access to services,,,,,,,,,,,Balancing caregiving with the rest of my responsibilities or desires,,Financial strain,,,,,Strongly disagree,Neutral,Disagree,Disagree,Disagree,Agree,Good,Disagree,Disagree,Strongly disagree,Neutral,Neutral,40,Full-time employed,,,,,,,,,,,,
80 - 89,Parent,,1 - 2 years,Yes,20,20,"They live with me, or another caregiver",,All the care they receive is free or donated,,,,,,,No,I do not currently receive any of these types of support,,,,,,,,,,None of the above,,,,,,,,,,None of the above,,,,,,,,,,,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Good,Disagree,Strongly disagree,Strongly disagree,Agree,Agree,20,Part-time employed,,,,,,,,,,,,
70 - 79,Other family member,,Less than a year,No,4,10,"In a home or apartment, with family or a roommate",,All the care they receive is free or donated,,"Pension, savings, or retirement fund",,,,,No,I do not currently receive any of these types of support,,,,,,,,,,,,,Help in getting access to services,,Individual counseling to help cope with giving care,,,Financial support,,,I feel obligated to help because no one else will,,,Balancing caregiving with the rest of my responsibilities or desires,Setting boundaries with how much time I commit to caregiving,,,,,,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Average,Neutral,Agree,Disagree,Disagree,Agree,10,Part-time employed,,,,,,,,,,,,
20 - 29,Other family member,,1 - 2 years,No,5,40,"In a home or apartment, with family or a roommate",,,,"Pension, savings, or retirement fund",,,,income from business,No,I do not currently receive any of these types of support,,,,,,,,,,,Accommodation from my employer,,Help in getting access to services,,,,,Financial support,,,I feel obligated to help because no one else will,Physical demands,Emotional stress,Balancing caregiving with the rest of my responsibilities or desires,Setting boundaries with how much time I commit to caregiving,,,I need more help but don鈥檛 want to ask,Depression,,Agree,Agree,Disagree,Agree,Disagree,Agree,Average,Agree,Agree,Agree,Disagree,Agree,40,Full-time employed,,,,,,,,,,,,
80 - 89,Parent,,Over 5 years,No,20,45,"In a home or apartment, with family or a roommate",,,,"Pension, savings, or retirement fund","Medicare, Medicaid, SSDI, or VA benefits",,,,Yes,,,Help in getting access to services,,Individual counseling to help cope with giving care,,Support from my loved one鈥檚 physicians,,,,,,"Classes about giving care, such as giving medications",,,Individual counseling to help cope with giving care,Respite care (short-term or long-term breaks for people who provide care),,,,,,,Emotional stress,,,,,I need more help but don鈥檛 want to ask,,,Neutral,Neutral,Agree,Neutral,Agree,Agree,Average,Neutral,Disagree,Neutral,Agree,Agree,45,Full-time employed,,,,,,,,,,,,
40 - 49,Other family member,,1 - 2 years,No,2,48,"They live with me, or another caregiver",,,Family contributions,,"Medicare, Medicaid, SSDI, or VA benefits",,,,No,I do not currently receive any of these types of support,,,,,,,,,,,Accommodation from my employer,,,,,,Support from my loved one鈥檚 physicians,Financial support,,,,,Emotional stress,,Setting boundaries with how much time I commit to caregiving,,Loss of sleep,,,,Agree,Neutral,Neutral,Neutral,Agree,Agree,Average,Agree,Neutral,Agree,Agree,Agree,48,Full-time employed,,,,,,,,,,,,
60 - 69,Parent,,Over 5 years,Yes,15,40,"They live with me, or another caregiver",,,,"Pension, savings, or retirement fund","Medicare, Medicaid, SSDI, or VA benefits",Medical insurance,,,No,I do not currently receive any of these types of support,,,,,,,,,,,,,Help in getting access to services,,,,,Financial support,,,I feel obligated to help because no one else will,Physical demands,Emotional stress,Balancing caregiving with the rest of my responsibilities or desires,Setting boundaries with how much time I commit to caregiving,Financial strain,Loss of sleep,,Depression,,Agree,Agree,Agree,Agree,Agree,Agree,Below average,Agree,Neutral,Strongly agree,Disagree,Disagree,40,Full-time employed,,,,,,,,,,,,
70 - 79,Parent,,Over 5 years,Yes,35,40,"They live with me, or another caregiver",,,,"Pension, savings, or retirement fund","Medicare, Medicaid, SSDI, or VA benefits",,,,No,I do not currently receive any of these types of support,,,,,,,,,,,,,Help in getting access to services,,Individual counseling to help cope with giving care,,,Financial support,,,I feel obligated to help because no one else will,Physical demands,Emotional stress,Balancing caregiving with the rest of my responsibilities or desires,Setting boundaries with how much time I commit to caregiving,Financial strain,Loss of sleep,,Depression,,Agree,Agree,Disagree,Agree,Agree,Strongly agree,Below average,Agree,Neutral,Strongly agree,Neutral,Strongly agree,40,Full-time employed,,,,,,,,,,,,
60 - 69,Friend/Neighbor,,1 - 2 years,Yes,35,20,"In a home or apartment, with family or a roommate",,All the care they receive is free or donated,,,"Medicare, Medicaid, SSDI, or VA benefits",,,,No,I do not currently receive any of these types of support,,,,,,,,,,,,,,,,,,Financial support,,,I feel obligated to help because no one else will,Physical demands,Emotional stress,Balancing caregiving with the rest of my responsibilities or desires,Setting boundaries with how much time I commit to caregiving,Financial strain,Loss of sleep,,Depression,,Agree,Agree,Neutral,Disagree,Neutral,Strongly agree,Poor,Neutral,Strongly disagree,Agree,Disagree,Disagree,20,Part-time employed,,,,,,,,,,,,
60 - 69,Parent,,Over 5 years,No,20,48,"In a home or apartment, with family or a roommate",,All the care they receive is free or donated,,,,,,,No,I do not currently receive any of these types of support,,,,,,,,,,,Accommodation from my employer,,Help in getting access to services,,Individual counseling to help cope with giving care,,,,,,I feel obligated to help because no one else will,Physical demands,Emotional stress,Balancing caregiving with the rest of my responsibilities or desires,Setting boundaries with how much time I commit to caregiving,,Loss of sleep,I need more help but don鈥檛 want to ask,Depression,,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Poor,Disagree,Strongly disagree,Disagree,Strongly agree,Strongly disagree,48,Full-time employed,,,,,,,,,,,,
70 - 79,Parent,,Less than a year,Yes,20,40,"In their home or apartment, alone",,,Family contributions,"Pension, savings, or retirement fund","Medicare, Medicaid, SSDI, or VA benefits",,,,No,I do not currently receive any of these types of support,,,,,,,,,,,Accommodation from my employer,,Help in getting access to services,,,,,Financial support,,,I feel obligated to help because no one else will,,Emotional stress,,Setting boundaries with how much time I commit to caregiving,Financial strain,,,,,Agree,Strongly agree,Disagree,Disagree,Disagree,Agree,Average,Agree,Disagree,Disagree,Neutral,Strongly agree,40,Full-time employed,,,,,,,,,,,,
60 - 69,Parent,,1 - 2 years,Yes,24,40,"They live with me, or another caregiver",,All the care they receive is free or donated,,,,,,,No,I do not currently receive any of these types of support,,,,,,,,,,,Accommodation from my employer,,,,,Respite care (short-term or long-term breaks for people who provide care),,Financial support,,,,Physical demands,Emotional stress,Balancing caregiving with the rest of my responsibilities or desires,Setting boundaries with how much time I commit to caregiving,Financial strain,Loss of sleep,I need more help but don鈥檛 want to ask,Depression,,Strongly agree,Strongly agree,Strongly agree,Agree,Neutral,Strongly agree,Poor,Strongly agree,Disagree,Disagree,Strongly agree,Agree,40,Full-time employed,,,,,,,,,,,,
40 - 49,Parent,,Over 5 years,No,7,40,"They live with me, or another caregiver",,,Family contributions,"Pension, savings, or retirement fund",,Medical insurance,,,No,I do not currently receive any of these types of support,,,,,,,,,,,,,Help in getting access to services,,,,Support from my loved one鈥檚 physicians,,,,,,Emotional stress,Balancing caregiving with the rest of my responsibilities or desires,,,Loss of sleep,,,,Disagree,Disagree,Disagree,Disagree,Disagree,Neutral,Good,Disagree,Disagree,Disagree,Agree,Agree,40,Full-time employed,,,,,,,,,,,,
70 - 79,Other family member,,3 - 5 years,No,15,0,"In their home or apartment, alone",,,Family contributions,,"Medicare, Medicaid, SSDI, or VA benefits",Medical insurance,,,Yes,,"Classes about giving care, such as giving medications",Help in getting access to services,,,,Support from my loved one鈥檚 physicians,,,,,,,,,Individual counseling to help cope with giving care,,,Financial support,,,I feel obligated to help because no one else will,Physical demands,Emotional stress,Balancing caregiving with the rest of my responsibilities or desires,Setting boundaries with how much time I commit to caregiving,,,,Depression,,Agree,Strongly agree,Neutral,Agree,Agree,Agree,Below average,Disagree,Disagree,Strongly agree,Strongly agree,Agree,0,Retired,,,,,,,,,,,,
60 - 69,Other family member,,Less than a year,No,2,49,"In a home or apartment, with family or a roommate",,,,"Pension, savings, or retirement fund",,,,,No,,,,,,,,Financial support,,,None of the above,,,,,,,,,,None of the above,,,,,,,,,,,Neutral,Agree,Neutral,Disagree,Neutral,Disagree,Excellent,Disagree,Neutral,Strongly disagree,Disagree,Disagree,49,Full-time employed,,,,,,,,,,,,
80 - 89,Other family member,,1 - 2 years,Yes,7,40,"In their home or apartment, alone",,,,,"Medicare, Medicaid, SSDI, or VA benefits",,,,No,I do not currently receive any of these types of support,,,,,,,,,,,Accommodation from my employer,,,,,Respite care (short-term or long-term breaks for people who provide care),,Financial support,,,I feel obligated to help because no one else will,Physical demands,Emotional stress,Balancing caregiving with the rest of my responsibilities or desires,Setting boundaries with how much time I commit to caregiving,Financial strain,Loss of sleep,,Depression,,Agree,Agree,Neutral,Strongly agree,Agree,Agree,Below average,Agree,Neutral,Neutral,Disagree,Neutral,40,Full-time employed,,,,,,,,,,,,
80 - 89,Other family member,,1 - 2 years,No,8,20,"They live with me, or another caregiver",,,Family contributions,"Pension, savings, or retirement fund","Medicare, Medicaid, SSDI, or VA benefits",Medical insurance,,,No,,,Help in getting access to services,,,,,Financial support,,,,,,,,Individual counseling to help cope with giving care,Respite care (short-term or long-term breaks for people who provide care),,,,,I feel obligated to help because no one else will,Physical demands,Emotional stress,,,,Loss of sleep,,,,Neutral,Agree,Disagree,Disagree,Disagree,Agree,Average,Disagree,Disagree,Strongly disagree,Neutral,Agree,20,Part-time employed,,,,,,,,,,,,
70 - 79,Parent,,Over 5 years,Yes,20,40,"They live with me, or another caregiver",,,Family contributions,,"Medicare, Medicaid, SSDI, or VA benefits",,,,No,I do not currently receive any of these types of support,,,,,,,,,,,,,,,,,,Financial support,,,I feel obligated to help because no one else will,Physical demands,Emotional stress,Balancing caregiving with the rest of my responsibilities or desires,Setting boundaries with how much time I commit to caregiving,Financial strain,Loss of sleep,,Depression,,Agree,Strongly agree,Agree,Agree,Agree,Strongly agree,Below average,Agree,Disagree,Disagree,Agree,Disagree,40,Full-time employed,,,,,,,,,,,,
80 - 89,Parent,,3 - 5 years,No,14,36,"They live with me, or another caregiver",,,,"Pension, savings, or retirement fund",,,,,No,I do not currently receive any of these types of support,,,,,,,,,,,,,Help in getting access to services,,Individual counseling to help cope with giving care,Respite care (short-term or long-term breaks for people who provide care),,,,,I feel obligated to help because no one else will,Physical demands,Emotional stress,Balancing caregiving with the rest of my responsibilities or desires,,,,,Depression,,Agree,Neutral,Disagree,Agree,Neutral,Agree,Average,Strongly agree,Agree,Strongly disagree,Agree,Strongly agree,36,Part-time employed,,,,,,,,,,,,
70 - 79,Parent,,3 - 5 years,Yes,5,40,In senior housing or a senior care community,,,,"Pension, savings, or retirement fund","Medicare, Medicaid, SSDI, or VA benefits",Medical insurance,,,No,I do not currently receive any of these types of support,,,,,,,,,,,,,,,,,Support from my loved one鈥檚 physicians,Financial support,,,I feel obligated to help because no one else will,,Emotional stress,Balancing caregiving with the rest of my responsibilities or desires,Setting boundaries with how much time I commit to caregiving,Financial strain,Loss of sleep,,Depression,,Strongly agree,Strongly agree,Disagree,Disagree,Disagree,Strongly agree,Below average,Agree,Agree,Agree,Agree,Agree,40,Full-time employed,,,,,,,,,,,,
80 - 89,Parent,,Over 5 years,Yes,32,8,"They live with me, or another caregiver",,,Family contributions,"Pension, savings, or retirement fund",,,,,No,,,,,,,Support from my loved one鈥檚 physicians,,,,,,,Help in getting access to services,,,,,Financial support,,,I feel obligated to help because no one else will,,Emotional stress,Balancing caregiving with the rest of my responsibilities or desires,Setting boundaries with how much time I commit to caregiving,Financial strain,,,Depression,,Agree,Neutral,Disagree,Neutral,Disagree,Neutral,Below average,Neutral,Agree,Neutral,Agree,Neutral,8,Part-time employed,,,,,,,,,,,,
90+,Other family member,,Over 5 years,No,60,25,"They live with me, or another caregiver",,,,"Pension, savings, or retirement fund",,,,,No,I do not currently receive any of these types of support,,,,,,,,,,None of the above,,,,,,,,,,,,,,,Setting boundaries with how much time I commit to caregiving,,,,,,Disagree,Strongly disagree,Disagree,Disagree,Agree,Disagree,Good,Strongly disagree,Strongly disagree,Disagree,Disagree,Neutral,25,Part-time employed,,,,,,,,,,,,
90+,Parent,,Over 5 years,No,7,0,"In their home or apartment, alone",,,Family contributions,,,,,,No,,,,,,,Support from my loved one鈥檚 physicians,,,,None of the above,,,,,,,,,,,,,Emotional stress,Balancing caregiving with the rest of my responsibilities or desires,,,,,,,Neutral,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Excellent,Strongly disagree,Strongly disagree,Disagree,Disagree,Strongly disagree,0,Retired,,,,,,,,,,,,
